/TTime               ,Tmax_coil1          ,Tmax_coil2          ,Tmax_coil3          ,Tmax_coil4          ,coil1_I             ,coil3_I             ,R1_I                ,R2_I                ,coil1_V             ,coil2_V             ,coil3_V             ,coil4_V             ,R_coil1             ,R_coil2             ,R_coil3             ,R_coil4             ,QV_coil1            ,QV_coil2            ,QV_coil3            ,QV_coil4            
0.17                ,4.56398929262       ,4.78454259675       ,4.78185555778       ,4.60050344476       ,107.440614003       ,107.455008336       ,107.440614003       ,107.455008336       ,-0.472138023896     ,-190.884039371      ,-190.921150863      ,-0.461195420897     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.18                ,4.60083282398       ,4.8379956003        ,4.83584766867       ,4.6418463144        ,107.299859969       ,107.314178574       ,107.299859969       ,107.314178574       ,-0.521963281156     ,-190.597607464      ,-190.630900316      ,-0.519121041828     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.19                ,4.63831613595       ,4.89183887118       ,4.89027843464       ,4.68398932789       ,107.159629208       ,107.173879          ,107.159629208       ,107.173879          ,-0.558763502345     ,-190.325639857      ,-190.367314675      ,-0.551257799938     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.2                 ,4.67633990422       ,4.94594907254       ,4.94503125853       ,4.72684316801       ,107.019862477       ,107.034081847       ,107.019862477       ,107.034081847       ,-0.596724498111     ,-190.05411407       ,-190.099571205      ,-0.588379101561     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.21                ,4.71482816291       ,5.000234614         ,5.00001084569       ,4.77032090552       ,106.880660154       ,106.89471296        ,106.880660154       ,106.89471296        ,-0.604362514811     ,-189.825449886      ,-189.868708803      ,-0.589314975809     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.22                ,4.75369993513       ,5.05456451416       ,5.05509918913       ,4.81434884791       ,106.741824603       ,106.755796309       ,106.741824603       ,106.755796309       ,-0.641620888573     ,-189.560971463      ,-189.600065406      ,-0.628781777652     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.23                ,4.79291040502       ,5.10884369011       ,5.11018090996       ,4.85884852314       ,106.603388023       ,106.617292339       ,106.603388023       ,106.617292339       ,-0.668057210162     ,-189.305584021      ,-189.343225614      ,-0.657120186605     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.24                ,4.83240355216       ,5.16298171693       ,5.16515402502       ,4.90374562545       ,106.465356741       ,106.479191114       ,106.465356741       ,106.479191114       ,-0.687444202095     ,-189.059211665      ,-189.098598838      ,-0.673909491316     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.25                ,4.87211124625       ,5.21689016847       ,5.21992831547       ,4.94897387592       ,106.327668752       ,106.341453607       ,106.327668752       ,106.341453607       ,-0.712082860302     ,-188.801705088      ,-188.842383757      ,-0.702881107915     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.26                ,4.91199318306       ,5.27045436914       ,5.27437887197       ,4.99446210739       ,106.190398125       ,106.204092212       ,106.190398125       ,106.204092212       ,-0.717109938322     ,-188.576197568      ,-188.620471315      ,-0.698173909855     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.27                ,4.95197909856       ,5.32362729369       ,5.32847948818       ,5.04016785468       ,106.053404978       ,106.06706887        ,106.053404978       ,106.06706887        ,-0.745351075949     ,-188.314549186      ,-188.355521986      ,-0.737055984536     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.28                ,4.99207435386       ,5.37643495477       ,5.38222754566       ,5.0859859762        ,105.916824883       ,105.930393608       ,105.916824883       ,105.930393608       ,-0.743700401832     ,-188.098223647      ,-188.145539672      ,-0.721546985563     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.29                ,5.03220447765       ,5.42883184024       ,5.43560649354       ,5.1318667738        ,105.780521786       ,105.794036362       ,105.780521786       ,105.794036362       ,-0.763544859774     ,-187.854207252      ,-187.893748364      ,-0.748367261494     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.3                 ,5.07235293299       ,5.48083617117       ,5.48861395593       ,5.17775993453       ,105.64448682        ,105.657988927       ,105.64448682        ,105.657988927       ,-0.787298782025     ,-187.596391918      ,-187.637176134      ,-0.780479255095     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.31                ,5.11247383329       ,5.53246947703       ,5.54125125478       ,5.2235998319        ,105.508852428       ,105.522250592       ,105.508852428       ,105.522250592       ,-0.780254003094     ,-187.386962792      ,-187.434493758      ,-0.759210768097     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.32                ,5.15250420963       ,5.58368045209       ,5.59349389276       ,5.26939108632       ,105.373399651       ,105.386801201       ,105.373399651       ,105.386801201       ,-0.813103020208     ,-187.121065512      ,-187.170016475      ,-0.800209530903     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.33                ,5.19243951242       ,5.63451415667       ,5.64536232578       ,5.31510595551       ,105.238364546       ,105.251672683       ,105.238364546       ,105.251672683       ,-0.79724020331      ,-186.915556553      ,-186.970263818      ,-0.777022512225     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.34                ,5.2322377271        ,5.68490326174       ,5.69680885288       ,5.3607417164        ,105.103576002       ,105.116809696       ,105.103576002       ,105.116809696       ,-0.811327768804     ,-186.679779501      ,-186.732412239      ,-0.792362423567     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
